sound.files,selec,start,end,ID,scale,images,social_scale_num
2017_07_17_EMBR_INDIV-RAW_MZ000202.WAV,2,103.576744610147,103.764622735225,RAW,Individual,2017_07_17_EMBR_INDIV-RAW_MZ000202.WAV_2-1.jpeg,1
2017_07_17_EMBR_INDIV-RAW_MZ000202.WAV,1,93.8631066611421,94.0640323540048,RAW,Individual,2017_07_17_EMBR_INDIV-RAW_MZ000202.WAV_1-1.jpeg,1
2017_07_17_EMBR_INDIV-RAW_MZ000199.WAV,1,20.7464103803244,20.9610466343331,RAW,Individual,2017_07_17_EMBR_INDIV-RAW_MZ000199.WAV_1-1.jpeg,1
2017_07_17_EMBR_INDIV-RAW_MZ000199.WAV,2,304.944870854028,305.125903275886,RAW,Individual,2017_07_17_EMBR_INDIV-RAW_MZ000199.WAV_2-1.jpeg,1
2017_07_24_1145-01_INDIV-UNMARKED-BIRD3_MZ000289.WAV,6,177.930218470996,178.099613506605,UM3,Individual,2017_07_24_1145-01_INDIV-UNMARKED-BIRD3_MZ000289.WAV_6-1.jpeg,1
2017_07_24_1145-01_INDIV-UNMARKED-BIRD3_MZ000289.WAV,3,166.212366157589,166.388020796749,UM3,Individual,2017_07_24_1145-01_INDIV-UNMARKED-BIRD3_MZ000289.WAV_3-1.jpeg,1
2017_07_24_1145-01_INDIV-UNMARKED-BIRD3_MZ000289.WAV,4,169.024008927611,169.192896578229,UM3,Individual,2017_07_24_1145-01_INDIV-UNMARKED-BIRD3_MZ000289.WAV_4-1.jpeg,1
2017_07_24_1145-01_INDIV-UNMARKED-BIRD3_MZ000289.WAV,5,174.934007086977,175.101266123687,UM3,Individual,2017_07_24_1145-01_INDIV-UNMARKED-BIRD3_MZ000289.WAV_5-1.jpeg,1
2017_08_21_CHAC_INDIV-UNMARKED-BIRD5_1242.WAV,7,104.030104280103,104.222586303368,UM5,Individual,2017_08_21_CHAC_INDIV-UNMARKED-BIRD5_1242.WAV_7-1.jpeg,1
2017_08_21_CHAC_INDIV-UNMARKED-BIRD5_1242.WAV,5,91.2701060941398,91.4479574947079,UM5,Individual,2017_08_21_CHAC_INDIV-UNMARKED-BIRD5_1242.WAV_5-1.jpeg,1
2017_08_21_CHAC_INDIV-UNMARKED-BIRD5_1242.WAV,6,95.252045828626,95.4448188316422,UM5,Individual,2017_08_21_CHAC_INDIV-UNMARKED-BIRD5_1242.WAV_6-1.jpeg,1
2017_08_21_CHAC_INDIV-UNMARKED-BIRD5_1242.WAV,9,115.60743387976,115.803358287282,UM5,Individual,2017_08_21_CHAC_INDIV-UNMARKED-BIRD5_1242.WAV_9-1.jpeg,1
2017_07_21_EMBR_INDIV-ZW8_MZ000260.WAV,1,161.881524600751,162.052442478494,ZW8,Individual,2017_07_21_EMBR_INDIV-ZW8_MZ000260.WAV_1-1.jpeg,1
